time[YYYY-MM-DD hh:mm:ss PST], fluorescence
6/2/16 8:45,5.971
6/2/16 8:55,6.484
6/2/16 9:05,3.7
6/2/16 9:15,4.103
6/2/16 9:25,4.359
6/2/16 9:35,4.237
6/2/16 9:45,2.662
6/2/16 9:55,3.138
6/2/16 10:05,2.772
6/2/16 10:15,2.466
6/2/16 10:25,3.443
6/2/16 10:35,3.98
6/2/16 10:45,4.383
6/2/16 10:55,4.335
6/2/16 11:05,4.322
6/2/16 11:15,4.786
6/2/16 11:25,5.8
6/2/16 11:35,5.763
6/2/16 11:45,4.86
6/2/16 11:55,4.066
6/2/16 12:05,3.565
6/2/16 12:25,4.237
6/2/16 12:35,4.139
6/2/16 12:45,4.225
6/2/16 12:55,3.883
6/2/16 13:05,3.736
6/2/16 13:15,3.956
6/2/16 13:25,3.871
6/2/16 13:35,4.115
6/2/16 13:45,4.53
6/2/16 13:55,3.687
6/2/16 14:05,3.883
6/2/16 14:15,4.444
6/2/16 14:25,4.847
6/2/16 14:35,4.725
6/2/16 14:45,5.214
6/2/16 14:55,6.02
6/2/16 15:05,6.007
6/2/16 15:15,5.336
6/2/16 15:25,6.142
6/2/16 15:35,7.094
6/2/16 15:45,5.287
6/2/16 15:55,6.044
6/2/16 16:05,6.081
6/2/16 16:15,7.179
6/2/16 16:25,7.607
6/2/16 16:35,7.387
6/2/16 16:45,8.193
6/2/16 16:55,6.215
6/2/16 17:05,10.354
6/2/16 17:15,9.072
6/2/16 17:25,6.361
6/2/16 17:35,7.338
6/2/16 17:45,8.168
6/2/16 17:55,8.779
6/2/16 18:05,8.755
6/2/16 18:15,9.878
6/2/16 18:25,8.291
6/2/16 18:35,10.024
6/2/16 18:45,11.648
6/2/16 18:55,11.868
6/2/16 19:05,11.38
6/2/16 19:15,12.808
6/2/16 19:25,12.772
6/2/16 19:35,12.857
6/2/16 19:45,13.407
6/2/16 19:55,12.711
6/2/16 20:05,11.99
6/2/16 20:15,12.32
6/2/16 20:25,12.479
6/2/16 20:35,12.479
6/2/16 20:45,13.15
6/2/16 20:55,12.137
6/2/16 21:05,11.954
6/2/16 21:15,12.357
6/2/16 21:25,13.297
6/2/16 21:35,12.222
6/2/16 21:45,12.21
6/2/16 21:55,12.283
6/2/16 22:05,12.808
6/2/16 22:15,12.723
6/2/16 22:25,13.81
6/2/16 22:35,15.116
6/2/16 22:45,13.529
6/2/16 22:55,13.883
6/2/16 23:05,11.77
